band,Gray,lv,RReg,GReg,BReg,RVol,GVol,BVol,RVolToReg
16,1,0.000507705,365,447,385,6.298822066,5.936628777,5.962161964,365
16,0,0,18,18,18,6.3,6.3,6.3,74
17,255,60.560001,1036,855,1155,3.716414265,4.202735711,3.396678065,1036
17,203,36.07,464,463,467,3.967990482,4.413982756,3.659727328,464
17,151,18.67,454,451,458,4.245031236,4.653237603,3.949299125,454
17,87,5.629,408,401,416,4.689806865,5.04036849,4.414508625,408
17,51,1.73,405,412,413,5.055274469,5.313784414,4.805190691,405
17,35,0.7603,425,436,436,5.290278654,5.480788151,5.046841256,425
17,23,0.3025,399,429,419,5.544822848,5.636579869,5.29975939,399
17,11,0.0623,149,414,359,6.1866,5.791297085,5.642392124,149
17,7,0.0217,460,455,426,6.2181,5.868963158,5.785047054,460
17,1,0.000304623,365,450,390,6.298850293,5.944816362,5.95472242,365
17,0,0,18,18,18,6.3,6.3,6.3,74
12,255,512.099976,1480,1181,1594,2.52344895,3.326819736,2.217147044,1480
12,203,308.100006,451,456,457,2.984684283,3.663150312,2.664627344,451
12,151,160.199997,443,444,449,3.446039965,4.028763966,3.124107912,443
12,87,48.43,400,397,408,4.098919065,4.569287398,3.794823076,400
12,51,14.89,402,398,410,4.600770738,4.985540731,4.319946677,402
12,35,6.434,429,427,436,4.897778558,5.226542782,4.632817009,429
12,23,2.55,417,419,424,5.183615447,5.447107608,4.942479043,417
12,11,0.5031,350,376,366,5.583128943,5.712491964,5.370713558,350
12,7,0.1854,402,452,422,5.778704178,5.803417549,5.567399455,402
12,1,0.0021,264,417,368,6.127354018,5.931556004,5.828381604,264
12,0,0,18,18,18,6.3,6.3,6.3,74
14,255,171.199997,1464,1169,1578,2.566438691,3.359062042,2.260136786,1464
14,203,102.800003,453,457,458,3.007420051,3.685870306,2.694871594,453
14,151,53.799999,443,446,450,3.46575023,4.037680101,3.143330815,443
14,87,15.96,400,399,408,4.114347844,4.566766444,3.810171304,400
14,51,4.88,403,405,412,4.608334496,4.95775711,4.321922886,403
14,35,2.16,434,441,440,4.886092338,5.162398128,4.61783222,434
14,23,0.8517,424,441,431,5.152633132,5.33900613,4.904924873,424
14,11,0.17,375,431,394,5.498356153,5.513194844,5.259064335,375
14,7,0.0615,431,485,459,5.65516928,5.563404108,5.385343502,431
14,1,0.000863099,408,463,430,5.825632399,5.65095156,5.561938271,408
14,0,0,18,18,18,6.3,6.3,6.3,74
15,255,29.620001,1017,828,1136,3.767464582,4.275280899,3.447728383,1017
15,203,17.969999,462,462,466,4.024850935,4.483972536,3.712260413,462
15,151,9.464,450,451,455,4.314545498,4.715009405,4.012466016,450
15,87,2.801,403,407,410,4.766220317,5.06845211,4.494572127,403
15,51,0.8598,406,424,415,5.11253872,5.30394535,4.862239806,406
15,35,0.3801,437,465,445,5.306458952,5.407260017,5.067523924,437
15,23,0.1492,433,474,445,5.481261011,5.482880235,5.246293851,433
15,11,0.0288,406,476,442,5.680653243,5.549233406,5.409050496,406
15,7,0.0113,481,499,495,5.728755792,5.571560606,5.443209385,481
15,1,0.000152312,444,493,471,5.829511227,5.604725107,5.525746938,444
15,0,0,18,18,18,6.3,6.3,6.3,74
