num,20,2
1-3-133-5,8d,89,c9,23,23,34
1-3-134-3,82,81,c0,30,29,44
1-3-135-1,41,41,60,15,15,22
1-3-136-0,0,0,0,0,0,0
1-4-137-255,2cc,26e,332,45,34,40
1-4-138-247,2c9,26c,32e,47,35,42
1-4-139-239,2c4,268,329,49,36,44
1-4-140-231,2b6,25c,318,47,34,42
1-4-141-223,2a7,250,306,44,33,39
1-4-142-215,299,243,2f4,43,31,37
1-4-143-207,289,236,2e1,40,30,34
1-4-144-199,27c,22b,2d1,39,29,32
1-4-145-191,26e,21f,2c1,37,28,30
1-4-146-183,260,213,2b0,36,27,28
1-4-147-175,252,206,29f,34,25,26
1-4-148-159,236,1ee,27e,31,22,22
1-4-149-143,219,1d5,25c,28,20,18
1-4-150-127,1fc,1bb,23a,25,17,14
1-4-151-111,1dd,1a0,217,22,14,11
1-4-152-95,1bd,184,1f4,20,13,9
1-4-153-79,19b,166,1ce,18,11,6
1-4-154-63,176,145,1a5,16,9,4
1-4-155-55,161,133,18e,14,9,2
1-4-156-47,14a,11e,175,13,7,0
1-4-157-39,132,108,15b,13,5,-1
1-4-158-31,115,ef,13d,12,5,-2
1-4-159-23,ee,cc,115,9,1,-5
1-4-160-19,db,bb,100,9,0,-7
1-4-161-17,d1,b2,f6,8,-1,-7
1-4-162-15,c6,a8,eb,7,-2,-8
1-4-163-13,b6,9a,dc,4,-6,-9
1-4-164-11,a6,8c,cc,3,-9,-11
1-4-165-9,95,7d,bd,0,-13,-11
1-4-166-7,84,6e,ac,-2,-16,-13
1-4-167-5,6c,56,95,-10,-28,-18
1-4-168-3,53,3d,7c,-17,-39,-24
1-4-169-1,2a,1f,3e,-8,-19,-12
1-4-170-0,0,0,0,0,0,0
1-5-171-255,286,24a,2f6,-25,-2,-20
1-5-172-247,280,244,2ef,-26,-5,-21
1-5-173-239,278,23c,2e6,-27,-8,-23
1-5-174-231,271,237,2df,-22,-3,-15
1-5-175-223,269,230,2d7,-18,1,-8
1-5-176-215,262,22a,2cf,-12,6,0
1-5-177-207,259,223,2c6,-8,11,7
1-5-178-199,251,21c,2bd,-4,14,12
1-5-179-191,248,214,2b3,-1,17,16
1-5-180-183,23f,20c,2aa,3,20,22
1-5-181-175,236,204,2a0,6,23,27
1-5-182-159,225,1f4,28c,14,28,36
1-5-183-143,212,1e3,278,21,34,46
1-5-184-127,1fc,1d0,262,25,38,54
1-5-185-111,1e5,1bb,24a,30,41,62
1-5-186-95,1cb,1a5,230,34,46,69
1-5-187-79,1ae,18b,213,37,48,75
1-5-188-63,18d,16e,1ef,39,50,78
1-5-189-55,179,159,1d9,38,47,77
1-5-190-47,164,149,1c4,39,50,79
1-5-191-39,14e,138,1ae,41,53,82
1-5-192-31,133,121,192,42,55,83
1-5-193-23,114,109,16f,47,62,85
1-5-194-19,104,fd,15e,50,66,87
1-5-195-17,fc,f7,155,51,68,88
1-5-196-15,f3,f0,14b,52,70,88
1-5-197-13,eb,ea,142,57,74,93
1-5-198-11,e2,e3,139,63,78,98
1-5-199-9,da,dd,12f,69,83,103
1-5-200-7,d0,d5,125,74,87,108
1-5-201-5,c8,cf,11c,82,93,117
1-5-202-3,be,c7,111,90,99,125
1-5-203-1,5f,64,89,45,50,63
1-5-204-0,0,0,0,0,0,0
1-6-205-255,27b,226,2d3,-36,-38,-55
1-6-206-247,276,222,2cd,-36,-39,-55
1-6-207-239,270,21d,2c7,-35,-39,-54
1-6-208-231,267,215,2bc,-32,-37,-50
1-6-209-223,25d,20d,2b1,-30,-34,-46
1-6-210-215,253,206,2a6,-27,-30,-41
1-6-211-207,249,1fc,29a,-24,-28,-37
1-6-212-199,23f,1f4,28e,-22,-26,-35
1-6-213-191,234,1eb,282,-21,-24,-33
1-6-214-183,229,1e2,276,-19,-22,-30
1-6-215-175,21e,1d9,26a,-18,-20,-27
1-6-216-159,208,1c6,251,-15,-18,-23
1-6-217-143,1f1,1b4,238,-12,-13,-18
1-6-218-127,1d9,19f,21e,-10,-11,-14
1-6-219-111,1bf,189,202,-8,-9,-10
1-6-220-95,1a4,170,1e3,-5,-7,-8
1-6-221-79,184,156,1c2,-5,-5,-6
1-6-222-63,163,139,19e,-3,-3,-3
1-6-223-55,14e,128,18a,-5,-2,-2
1-6-224-47,139,115,174,-4,-2,-1
1-6-225-39,122,101,15c,-3,-2,0
1-6-226-31,107,ea,142,-2,0,3
1-6-227-23,e6,d1,124,1,6,10
1-6-228-19,d6,c5,114,4,10,13
1-6-229-17,cd,bf,10d,4,12,16
1-6-230-15,c4,b8,104,5,14,17
1-6-231-13,bc,b2,fc,10,18,23
1-6-232-11,b4,ab,f5,17,22,30
1-6-233-9,ac,a4,ed,23,26,37
1-6-234-7,a3,9d,e5,29,31,44
1-6-235-5,9d,98,df,39,38,56
1-6-236-3,94,92,d9,48,46,69
1-6-237-1,4a,49,6d,24,23,35
1-6-238-0,0,0,0,0,0,0
1-7-239-255,26b,218,2bf,-52,-52,-75
1-7-240-247,267,215,2bb,-51,-52,-73
1-7-241-239,262,210,2b6,-49,-52,-71
1-7-242-231,25a,209,2ac,-45,-49,-66
1-7-243-223,250,201,2a1,-43,-46,-62
1-7-244-215,247,1fa,297,-39,-42,-56
1-7-245-207,23d,1f1,28b,-36,-39,-52
1-7-246-199,233,1e9,280,-34,-37,-49
1-7-247-191,229,1e0,274,-32,-35,-47
1-7-248-183,21e,1d8,269,-30,-32,-43
1-7-249-175,213,1cf,25d,-29,-30,-40
1-7-250-159,1fe,1bd,245,-25,-27,-35
1-7-251-143,1e8,1ab,22d,-21,-22,-29
1-7-252-127,1d1,197,214,-18,-19,-24
1-7-253-111,1b8,182,1f9,-15,-16,-19
1-7-254-95,19c,16a,1dc,-13,-13,-15
1-7-255-79,17e,151,1bd,-11,-10,-11
1-7-256-63,15d,135,19a,-9,-7,-7
1-7-257-55,149,125,187,-10,-5,-5
1-7-258-47,135,113,172,-8,-4,-3
1-7-259-39,11f,100,15c,-6,-3,0
1-7-260-31,105,ea,144,-4,0,5
1-7-261-23,e6,d5,12a,1,10,16
1-7-262-19,d7,cb,11d,5,16,22
1-7-263-17,cf,c5,117,6,18,26
1-7-264-15,c6,bf,10f,7,21,28
1-7-265-13,c0,ba,10a,14,26,37
1-7-266-11,ba,b5,105,23,32,46
1-7-267-9,b3,af,ff,30,37,55
1-7-268-7,ac,a9,f9,38,43,64
1-7-269-5,a7,a5,f5,49,51,78
1-7-270-3,a0,9f,f0,60,59,92
1-7-271-1,50,50,78,30,30,46
1-7-272-0,0,0,0,0,0,0
1-8-273-255,268,216,2bc,-55,-54,-78
1-8-274-247,265,214,2b9,-53,-53,-75
1-8-275-239,261,20f,2b5,-50,-53,-72
1-8-276-231,25a,209,2ac,-45,-49,-66
1-8-277-223,24f,200,2a0,-44,-47,-63
1-8-278-215,247,1fa,297,-39,-42,-56
1-8-279-207,23c,1f1,28b,-37,-39,-52
1-8-280-199,233,1e9,281,-34,-37,-48
1-8-281-191,229,1e0,275,-32,-35,-46
1-8-282-183,21e,1d9,26a,-30,-31,-42
1-8-283-175,213,1d0,25e,-29,-29,-39
1-8-284-159,1fe,1be,247,-25,-26,-33
1-8-285-143,1e8,1ac,230,-21,-21,-26
1-8-286-127,1d2,198,218,-17,-18,-20
1-8-287-111,1ba,185,1fd,-13,-13,-15
1-8-288-95,19e,16c,1e1,-11,-11,-10
1-8-289-79,17f,154,1c4,-10,-7,-4
1-8-290-63,15f,139,1a2,-7,-3,1
1-8-291-55,14b,129,190,-8,-1,4
1-8-292-47,138,118,17c,-5,1,7
1-8-293-39,123,107,168,-2,4,12
1-8-294-31,10a,f3,152,1,9,19
1-8-295-23,ed,e1,13d,8,22,35
1-8-296-19,df,d8,133,13,29,44
1-8-297-17,d7,d3,12e,14,32,49
1-8-298-15,cf,ce,127,16,36,52
1-8-299-13,c9,ca,124,23,42,63
1-8-300-11,c2,c5,121,31,48,74
1-8-301-9,bc,c0,11d,39,54,85
1-8-302-7,b5,bb,117,47,61,94
1-8-303-5,ae,b5,113,56,67,108
1-8-304-3,a6,ad,10e,66,73,122
1-8-305-1,53,57,87,33,37,61
1-8-306-0,0,0,0,0,0,0
